Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,19.629999,20.280001,19.629999,20.040001,20.040001,2978600
2023-07-05,19.900000,20.100000,19.670000,20.000000,20.000000,3746300
2023-07-06,19.809999,20.020000,19.600000,19.910000,19.910000,3784600
2023-07-07,20.360001,20.760000,20.059999,20.480000,20.480000,4716600
2023-07-10,20.920000,21.219999,20.690001,20.990000,20.990000,6284800
2023-07-11,21.200001,21.700001,20.940001,21.580000,21.580000,4387400
2023-07-12,21.889999,22.030001,21.570000,21.830000,21.830000,4080000
2023-07-13,21.950001,22.150000,21.740000,21.820000,21.820000,3610100
2023-07-14,22.070000,22.070000,21.200001,21.440001,21.440001,4202400
2023-07-17,21.510000,21.629999,21.260000,21.490000,21.490000,3954200
2023-07-18,21.559999,21.760000,20.809999,20.870001,20.870001,5727300
2023-07-19,20.950001,21.230000,20.730000,21.040001,21.040001,6302100
2023-07-20,21.080000,21.340000,20.790001,21.270000,21.270000,5150200
2023-07-21,21.549999,21.590000,21.090000,21.180000,21.180000,7083000
2023-07-24,21.650000,21.760000,21.290001,21.570000,21.570000,7556300
2023-07-25,21.629999,21.780001,21.110001,21.170000,21.170000,4683200
2023-07-26,20.840000,21.340000,20.700001,21.320000,21.320000,5455400
2023-07-27,21.559999,22.639999,21.139999,21.240000,21.240000,7686300
2023-07-28,21.440001,21.500000,20.600000,20.730000,20.730000,4823600
2023-07-31,20.959999,21.639999,20.930000,21.299999,21.299999,4850200
2023-08-01,21.190001,21.440001,21.180000,21.270000,21.270000,2277500
2023-08-02,21.059999,21.299999,20.950001,21.250000,21.250000,2559000
2023-08-03,21.250000,21.450001,20.440001,20.500000,20.500000,6670900
2023-08-04,20.480000,20.850000,20.309999,20.450001,20.450001,2906300
2023-08-07,20.650000,21.410000,20.650000,21.280001,21.280001,4341200
2023-08-08,21.129999,21.450001,20.980000,21.430000,21.430000,3722500
2023-08-09,21.370001,21.840000,21.270000,21.629999,21.629999,2941400
2023-08-10,21.740000,21.840000,21.450001,21.530001,21.530001,1643500
2023-08-11,21.450001,21.670000,21.070000,21.600000,21.600000,2929400
2023-08-14,21.580000,21.740000,21.260000,21.719999,21.719999,1866400
2023-08-15,21.510000,21.600000,21.090000,21.250000,21.250000,2079100
2023-08-16,21.230000,21.459999,21.139999,21.150000,21.150000,1440400
2023-08-17,21.230000,21.430000,20.760000,20.830000,20.830000,1584100
2023-08-18,20.610001,20.990000,20.559999,20.760000,20.760000,2347100
